External ID,No,Debit Acc,Account Internal ID,Credit Acc #,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-36096/9,331,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,335 8th Avenue,3545,36096/9,335 8th Avenue - Aug  material cost transferred from sps,1574.88,
AUGCOGS-36096/9,331.5,,953,A12001 - Inventory (New),08/30/2025,335 8th Avenue,3545,36096/9,335 8th Avenue - Aug  material cost transferred from sps,,1574.88
AUGCOGS-36162/5,337,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,CANDLEWOOD - PERRYSBERG,3546,36162/5,CANDLEWOOD - PERRYSBERG - Aug  material cost transferred from sps,80.66,
AUGCOGS-36162/5,337.5,,953,A12001 - Inventory (New),08/30/2025,CANDLEWOOD - PERRYSBERG,3546,36162/5,CANDLEWOOD - PERRYSBERG - Aug  material cost transferred from sps,,80.66
AUGCOGS-36199/11,338,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Pinnacle Hospitality Partners / Hilton Garden inn Nashville,3547,36199/11,Pinnacle Hospitality Partners / Hilton Garden inn Nashville - Aug  material cost transferred from sps,320.12,
AUGCOGS-36199/11,338.5,,953,A12001 - Inventory (New),08/30/2025,Pinnacle Hospitality Partners / Hilton Garden inn Nashville,3547,36199/11,Pinnacle Hospitality Partners / Hilton Garden inn Nashville - Aug  material cost transferred from sps,,320.12
AUGCOGS-36456/8,358,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Wingate by Wyndham / Indianapolis,3519,36456/8,Wingate by Wyndham / Indianapolis - Aug  material cost transferred from sps,510.14,
AUGCOGS-36456/8,358.5,,953,A12001 - Inventory (New),08/30/2025,Wingate by Wyndham / Indianapolis,3519,36456/8,Wingate by Wyndham / Indianapolis - Aug  material cost transferred from sps,,510.14
AUGCOGS-36965/8,434,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Wyndham Garden Newark,3543,36965/8,Wyndham Garden Newark - Aug  material cost transferred from sps,603.71,
AUGCOGS-36965/8,434.5,,953,A12001 - Inventory (New),08/30/2025,Wyndham Garden Newark,3543,36965/8,Wyndham Garden Newark - Aug  material cost transferred from sps,,603.71
AUGCOGS-37281/3,469,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,HOME2 SOMERSET,3526,37281/3,HOME2 SOMERSET - Aug  material cost transferred from sps,631.21,
